epoch	p920	p921	p922
1788095021.104	0/0	0/0	0/0
1788095021.147	0/0	0/0	0/0
1788095021.189	0/0	0/0	0/0
1788095021.230	0/0	0/0	0/0
1788095021.272	0/0	0/0	0/0
1788095021.338	0/0	0/0	0/0
1788095021.381	0/0	0/0	0/0
1788095021.422	0/0	0/0	0/0
1788095021.463	0/0	0/0	0/0
1788095021.506	0/0	0/0	0/0
1788095021.552	0/0	0/0	0/0
1788095021.594	0/0	0/0	0/0
1788095021.636	0/0	0/0	0/0
1788095021.677	0/0	0/0	0/0
1788095021.720	0/0	0/0	0/0
1788095021.764	0/0	0/0	0/0
1788095021.806	0/0	0/0	0/0
1788095021.849	0/0	0/0	0/0
1788095021.891	0/0	0/0	0/0
1788095021.933	0/0	0/0	0/0
1788095021.975	0/0	0/0	0/0
1788095022.017	0/0	0/0	0/0
1788095022.059	0/0	0/0	0/0
1788095022.102	0/0	0/0	0/0
1788095022.146	0/0	0/0	0/0
1788095022.187	0/0	0/0	0/0
1788095022.228	0/0	0/0	0/0
1788095022.273	0/0	0/0	0/0
1788095022.348	0/0	0/0	0/0
1788095022.391	0/0	0/0	0/0
1788095022.437	0/0	0/0	0/0
1788095022.481	0/0	0/0	0/0
1788095022.525	0/0	0/0	0/0
1788095022.567	0/0	0/0	0/0
1788095022.608	0/0	0/0	0/0
1788095022.649	0/0	0/0	0/0
1788095022.693	0/0	0/0	0/0
1788095022.734	0/0	0/0	0/0
1788095022.779	0/0	0/0	0/0
1788095022.822	0/0	0/0	0/0
1788095022.870	0/0	0/0	0/0
1788095022.911	0/0	0/0	0/0
1788095022.950	0/0	0/0	0/0
1788095022.993	0/0	0/0	0/0
1788095023.033	0/0	0/0	0/0
1788095023.073	0/0	0/0	0/0
1788095023.114	0/0	0/0	0/0
1788095023.157	0/0	0/0	0/0
1788095023.197	0/0	0/0	0/0
1788095023.238	0/0	0/0	0/0
1788095023.280	0/0	0/0	0/0
1788095023.351	0/0	0/0	0/0
1788095023.393	0/0	0/0	0/0
1788095023.434	0/0	0/0	0/0
1788095023.475	0/0	0/0	0/0
1788095023.519	0/0	0/0	0/0
1788095023.565	0/0	0/0	0/0
1788095023.608	0/0	0/0	0/0
1788095023.653	0/0	0/0	0/0
1788095023.695	0/0	0/0	0/0
1788095023.736	0/0	0/0	0/0
1788095023.777	0/0	0/0	0/0
1788095023.817	0/0	0/0	0/0
1788095023.861	0/0	0/0	0/0
1788095023.903	0/0	0/0	0/0
1788095023.945	0/0	0/0	0/0
1788095023.987	0/0	0/0	0/0
1788095024.030	0/0	0/0	0/0
1788095024.071	0/0	0/0	0/0
1788095024.110	0/0	0/0	0/0
1788095024.149	0/0	0/0	0/0
1788095024.188	0/0	0/0	0/0
1788095024.222	0/0	0/0	0/0
