rep	prio	sample	t_since_post_ms	req_ms	n_entries	n_phantom	n_real
6	916	4	196.1	33.0	1283	1	0
6	916	5	235.0	32.8	1283	1	0
6	916	6	273.5	32.7	1283	1	0
6	916	7	325.9	42.8	1283	1	0
6	916	8	369.1	36.1	1283	1	0
6	916	9	406.8	31.8	1283	1	0
6	916	10	445.2	32.5	1283	1	0
6	916	11	482.9	31.5	1283	1	0
6	916	12	521.1	32.4	1283	1	0
6	916	13	560.0	33.1	1283	1	0
6	916	14	597.8	31.7	1283	1	0
6	916	15	636.2	32.6	1283	1	0
6	916	16	673.4	31.9	1283	1	0
6	916	17	706.1	27.4	1283	1	0
6	916	18	788.1	72.4	1283	1	0
6	916	19	838.4	40.1	1283	1	0
6	916	20	879.7	33.4	1283	1	0
6	916	21	919.9	32.5	1283	1	0
6	916	22	962.4	34.9	1283	1	0
6	916	23	1002.3	32.6	1283	1	0
6	916	24	1040.6	32.3	1283	1	0
6	916	25	1078.6	32.0	1283	1	0
6	916	26	1116.4	32.0	1283	1	0
6	916	27	1154.2	32.0	1283	1	0
6	916	28	1192.5	32.3	1283	1	0
6	916	29	1231.0	32.1	1283	1	0
6	916	30	1268.9	32.3	1283	1	0
6	916	31	1302.5	28.5	1283	1	0
6	916	32	1332.4	25.3	1283	1	0
6	916	33	1363.1	23.5	1283	1	0
6	916	34	1397.0	25.9	1283	1	0
6	916	35	1432.4	27.9	1283	1	0
6	916	36	1472.1	29.8	1283	1	0
6	916	37	1512.6	32.3	1283	1	0
6	916	38	1555.2	34.8	1283	1	0
6	916	39	1601.2	33.6	1283	1	0
6	916	40	1644.8	34.6	1283	1	0
6	916	41	1686.8	34.0	1283	1	0
6	916	42	1728.1	34.0	1283	1	0
6	916	43	1794.1	59.9	1283	1	0
6	916	44	1832.2	32.3	1283	1	0
6	916	45	1873.5	35.5	1283	1	0
