-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.19, port 52744
[  8] local 10.0.0.51 port 5201 connected to 10.0.0.19 port 50167
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8] 183.00-184.01 sec   182 KBytes  1.48 Mbits/sec  5.937 ms  403/536 (75%)  
[  8] 184.01-185.00 sec   247 KBytes  2.04 Mbits/sec  4.015 ms  267/448 (60%)  
[  8] 185.00-186.00 sec   226 KBytes  1.85 Mbits/sec  5.473 ms  307/472 (65%)  
[  8] 186.00-187.00 sec   172 KBytes  1.41 Mbits/sec  5.883 ms  303/429 (71%)  
[  8] 187.00-188.01 sec   310 KBytes  2.53 Mbits/sec  4.568 ms  211/438 (48%)  
[  8] 188.01-189.00 sec   293 KBytes  2.41 Mbits/sec  5.334 ms  249/463 (54%)  
[  8] 189.00-190.00 sec   175 KBytes  1.43 Mbits/sec  7.141 ms  262/390 (67%)  
[  8] 190.00-191.00 sec   231 KBytes  1.89 Mbits/sec  5.721 ms  361/530 (68%)  
[  8] 191.00-192.00 sec   254 KBytes  2.08 Mbits/sec  4.006 ms  201/387 (52%)  
[  8] 192.00-193.00 sec   262 KBytes  2.15 Mbits/sec  3.917 ms  271/463 (59%)  
[  8] 193.00-194.00 sec   254 KBytes  2.08 Mbits/sec  5.911 ms  336/522 (64%)  
[  8] 194.00-195.00 sec   164 KBytes  1.34 Mbits/sec  4.175 ms  266/386 (69%)  
[  8] 195.00-196.00 sec   245 KBytes  2.01 Mbits/sec  6.422 ms  211/390 (54%)  
[  8] 196.00-197.00 sec   243 KBytes  1.99 Mbits/sec  5.147 ms  385/563 (68%)  
[  8] 197.00-198.00 sec   134 KBytes  1.09 Mbits/sec  10.727 ms  357/455 (78%)  
[  8] 198.00-199.00 sec   368 KBytes  3.02 Mbits/sec  3.538 ms  231/500 (46%)  
[  8] 199.00-200.00 sec   265 KBytes  2.17 Mbits/sec  4.812 ms  161/355 (45%)  
[  8] 200.00-201.00 sec  82.0 KBytes   672 Kbits/sec  11.521 ms  299/359 (83%)  
[  8] 201.00-202.00 sec  54.7 KBytes   448 Kbits/sec  11.618 ms  377/417 (90%)  
[  8] 202.00-203.00 sec  68.4 KBytes   560 Kbits/sec  10.875 ms  373/423 (88%)  
[  8] 203.00-204.00 sec  69.7 KBytes   571 Kbits/sec  7.035 ms  405/456 (89%)  
[  8] 204.00-205.00 sec  73.8 KBytes   605 Kbits/sec  7.628 ms  418/472 (89%)  
[  8] 205.00-206.00 sec  82.0 KBytes   672 Kbits/sec  9.153 ms  316/376 (84%)  
[  8] 206.00-207.00 sec  58.8 KBytes   482 Kbits/sec  7.807 ms  358/401 (89%)  
[  8] 207.00-208.00 sec  99.8 KBytes   816 Kbits/sec  59.815 ms  533/606 (88%)  
[  8] 208.00-209.00 sec  50.6 KBytes   415 Kbits/sec  14.311 ms  375/412 (91%)  
[  8] 209.00-210.00 sec  80.7 KBytes   661 Kbits/sec  7.585 ms  384/443 (87%)  
[  8] 210.00-211.00 sec  65.6 KBytes   538 Kbits/sec  8.096 ms  332/380 (87%)  
[  8] 211.00-212.00 sec  73.8 KBytes   605 Kbits/sec  10.035 ms  451/505 (89%)  
[  8] 212.00-213.00 sec  83.4 KBytes   683 Kbits/sec  9.210 ms  349/410 (85%)  
[  8] 213.00-214.00 sec   245 KBytes  2.00 Mbits/sec  5.564 ms  378/557 (68%)  
[  8] 214.00-215.00 sec  97.1 KBytes   795 Kbits/sec  7.116 ms  357/428 (83%)  
[  8] 215.00-216.00 sec   160 KBytes  1.31 Mbits/sec  7.943 ms  332/449 (74%)  
[  8] 216.00-217.00 sec   175 KBytes  1.43 Mbits/sec  6.608 ms  336/464 (72%)  
[  8] 217.00-218.00 sec   234 KBytes  1.91 Mbits/sec  6.234 ms  306/477 (64%)  
[  8] 218.00-219.00 sec   215 KBytes  1.75 Mbits/sec  7.833 ms  274/431 (64%)  
[  8] 219.00-220.00 sec   160 KBytes  1.31 Mbits/sec  9.885 ms  296/413 (72%)  
[  8] 220.00-221.00 sec   250 KBytes  2.05 Mbits/sec  5.345 ms  241/424 (57%)  
[  8] 221.00-222.00 sec   208 KBytes  1.70 Mbits/sec  5.991 ms  309/461 (67%)  
[  8] 222.00-223.00 sec  90.2 KBytes   739 Kbits/sec  12.002 ms  237/303 (78%)  
[  8] 223.00-224.00 sec  45.1 KBytes   370 Kbits/sec  11.872 ms  409/442 (93%)  
[  8] 224.00-225.00 sec  57.4 KBytes   470 Kbits/sec  15.574 ms  599/641 (93%)  
[  8] 225.00-226.00 sec   186 KBytes  1.52 Mbits/sec  5.617 ms  274/410 (67%)  
[  8] 226.00-227.00 sec   231 KBytes  1.89 Mbits/sec  4.424 ms  358/527 (68%)  
